,사용년월,표준버스정류장ID,버스정류장ARS번호,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,행정동
1854,7,104900078,5720,0.0,0.0,0.0,0.0,0.0,0.0,1936.2,6541.777777777777,8515.666666666668,9114.0,8288.0,8504.5,10433.518518518518,9310.153846153846,9939.814814814814,15384.642857142857,14930.857142857143,15707.185185185186,19892.857142857145,20925.0,14756.0,13811.571428571428,16792.642857142855,9180.57142857143,중곡4동
1855,7,104900079,5718,0.0,0.0,0.0,0.0,0.0,0.0,9635.928571428572,40601.51612903226,54468.54838709677,31406.709677419352,17741.935483870966,19472.129032258064,19281.733333333334,19495.137931034482,13692.0,15842.90322580645,16945.419354838712,20986.566666666666,21083.4,12093.066666666668,8670.741935483871,6517.1612903225805,4971.413793103448,1767.2903225806451,구의1동
1856,7,104900080,5717,0.0,0.0,0.0,0.0,0.0,0.0,1078.9285714285716,5027.612903225807,4544.903225806452,5740.903225806452,4324.193548387097,4080.133333333333,4521.51724137931,4516.551724137931,4239.0,6039.419354838709,5819.935483870968,6266.166666666666,7401.935483870968,5773.935483870968,5243.225806451613,4816.354838709678,6657.25806451613,3386.2903225806454,구의2동
1857,7,104900082,5726,0.0,0.0,0.0,0.0,0.0,0.0,607.1428571428571,1861.9354838709676,4789.451612903225,3385.8064516129034,3954.064516129032,3257.8,3392.5,3541.655172413793,4387.0,4541.612903225806,3883.0645161290327,5021.5,5511.870967741936,3792.0,2746.451612903226,2759.9032258064517,2722.741935483871,730.4516129032259,중곡1동
1858,7,104900085,5501,0.0,0.0,0.0,0.0,0.0,0.0,479.17241379310343,1509.6774193548388,2184.451612903226,1226.0,877.9354838709677,1119.0967741935485,1211.6896551724137,1998.6206896551723,1100.0,1044.0,1092.1935483870968,1687.2,1555.3548387096776,1842.0645161290322,1317.6774193548388,1199.8709677419354,1890.3225806451612,422.16129032258067,중곡3동
1859,7,104900089,5508,0.0,0.0,0.0,0.0,0.0,0.0,11064.0,13703.111111111111,12901.333333333334,11655.0,5568.5,4416.5,5550.555555555555,4125.2307692307695,4257.407407407407,3836.892857142857,3627.071428571429,4689.0,3357.1428571428573,1537.5,1088.0,1288.392857142857,199.71428571428572,0.0,중곡4동
1860,7,104900091,5599,0.0,0.0,0.0,0.0,0.0,0.0,5857.571428571428,21748.16129032258,28719.354838709678,23578.193548387095,25860.645161290322,37749.87096774194,35224.933333333334,35659.448275862065,38220.0,69273.87096774194,66654.1935483871,48572.2,52326.0,44241.46666666667,30506.032258064515,27617.806451612905,28411.758620689652,13549.225806451614,구의1동
1861,7,104900097,5582,0.0,0.0,0.0,0.0,0.0,0.0,24759.103448275862,78597.35483870968,128809.67741935483,78729.25806451614,51711.645161290326,42385.2,65889.71428571429,53010.0,50481.0,59608.451612903234,68870.96774193548,83714.40000000001,110916.48387096776,87205.67741935485,65248.8,62780.07142857143,52849.65517241379,26516.12903225806,구의3동
1862,7,104900098,5710,0.0,0.0,0.0,0.0,0.0,0.0,1430.857142857143,9129.774193548386,11483.064516129032,8986.58064516129,6273.548387096774,7057.741935483871,6677.0666666666675,5779.9655172413795,4508.0,5971.290322580645,9351.483870967742,8018.633333333333,5967.0,4699.533333333334,2074.064516129032,1709.4193548387098,1571.2758620689654,461.03225806451616,구의1동
1863,7,104900099,5579,0.0,0.0,0.0,0.0,0.0,0.0,3262.0689655172414,10828.09677419355,22868.129032258064,12121.451612903227,7901.967741935484,7144.8,9973.42857142857,9059.48275862069,9322.0,9554.193548387098,10090.58064516129,10449.6,11103.774193548388,7874.645161290323,7142.400000000001,7815.357142857142,5061.206896551724,2722.322580645161,구의3동
